Terms Appearing within 50 Words of “[Zz]wischenreich”,,
Portion of All Occurrences,Occurrences,Term
0.99%,13,sie
0.98%,1,seinen
0.98%,1,sagte
0.96%,5,zur
0.96%,25,das
0.95%,1,allein
0.95%,3,über
0.94%,1,plotia
0.93%,3,werden
0.92%,1,einmal
0.91%,2,selbst
0.91%,1,aller
0.90%,3,selber
0.88%,10,von
0.87%,4,sein
0.87%,2,dich
0.86%,3,wird
0.86%,4,für
0.85%,2,einer
0.85%,4,zum
0.85%,1,dann
0.84%,1,bist
0.78%,2,einem
0.78%,4,ihm
0.77%,1,trotzdem
0.77%,1,ob
0.77%,1,eines
0.76%,1,jetzt
0.76%,1,bloß
0.75%,32,die
0.74%,1,dieses
0.73%,1,leben
0.73%,13,zu
0.71%,1,cäsar
0.70%,1,stimme
0.68%,1,dein
0.63%,10,sich
0.62%,3,da
0.62%,1,erkenntnis
0.61%,2,wurde
0.61%,1,man
0.59%,2,vor
0.59%,1,weil
0.57%,1,mich
0.57%,1,menschen
0.57%,11,war
0.55%,2,ihn
0.54%,5,du
0.54%,5,als
0.52%,2,eine
0.51%,3,auf
0.50%,2,nichts
0.47%,4,mit
0.46%,1,gewesen
0.44%,1,nach
0.43%,1,seiner
0.43%,1,alles
0.42%,3,wie
0.39%,3,ich
0.37%,1,vom
0.34%,1,ihr
0.33%,1,dies
0.30%,1,aber
,1529,TOTAL (Ts)
